Time(sec), Queue Density, Dynamic Density
78.200000, 0.980550, 0.028110
78.400000, 0.980520, 0.026680
78.600000, 0.980270, 0.025840
78.800000, 0.980360, 0.024990
79.000000, 0.980630, 0.025450
79.200000, 0.980680, 0.028350
79.400000, 0.980940, 0.025510
79.600000, 0.980880, 0.024550
79.800000, 0.981270, 0.023380
80.000000, 0.981170, 0.020630
80.200000, 0.981010, 0.019490
80.400000, 0.981120, 0.018580
80.600000, 0.980760, 0.018470
80.800000, 0.981260, 0.022450
81.000000, 0.981120, 0.020950
81.200000, 0.981270, 0.019830
81.400000, 0.980870, 0.019420
81.600000, 0.980520, 0.019010
81.800000, 0.980530, 0.019760
82.000000, 0.980610, 0.020790
82.200000, 0.980440, 0.022960
82.400000, 0.981820, 0.029050
82.600000, 0.981170, 0.027210
82.800000, 0.980860, 0.027220
83.000000, 0.980530, 0.027820
83.200000, 0.980930, 0.026260
83.400000, 0.980970, 0.025510
83.600000, 0.980680, 0.024140
83.800000, 0.980450, 0.023640
84.000000, 0.980410, 0.023610
84.200000, 0.979550, 0.026750
84.400000, 0.979540, 0.024440
84.600000, 0.979630, 0.023950
84.800000, 0.979640, 0.023880
85.000000, 0.979970, 0.023630
85.200000, 0.980540, 0.023900
85.400000, 0.980840, 0.022790
85.600000, 0.980650, 0.021870
85.800000, 0.981100, 0.026560
86.000000, 0.981170, 0.026060
86.200000, 0.980740, 0.026750
86.400000, 0.980910, 0.026990
86.600000, 0.980960, 0.025100
86.800000, 0.981190, 0.022800
87.000000, 0.981030, 0.021490
87.200000, 0.981120, 0.020880
87.400000, 0.980800, 0.023540
87.600000, 0.981000, 0.019870
87.800000, 0.981740, 0.017500
88.000000, 0.981520, 0.017730
88.200000, 0.980910, 0.017000
88.400000, 0.981170, 0.016220
88.600000, 0.981200, 0.015000
88.800000, 0.981230, 0.013860
89.000000, 0.981360, 0.012470
89.200000, 0.980170, 0.017690
89.400000, 0.980410, 0.016790
89.600000, 0.980650, 0.017290
89.800000, 0.980080, 0.019030
90.000000, 0.980230, 0.022160
90.200000, 0.980170, 0.024900
90.400000, 0.980000, 0.028420
90.600000, 0.980120, 0.031450
90.800000, 0.980420, 0.040170
91.000000, 0.980730, 0.038660
91.200000, 0.980390, 0.038430
91.400000, 0.980490, 0.039010
91.600000, 0.980630, 0.039170
91.800000, 0.980470, 0.039340
92.000000, 0.980240, 0.039390
92.200000, 0.980290, 0.039080
92.400000, 0.981650, 0.045040
92.600000, 0.981530, 0.042560
92.800000, 0.981510, 0.041130
93.000000, 0.981430, 0.039990
93.200000, 0.981860, 0.039130
93.400000, 0.981710, 0.039010
93.600000, 0.981780, 0.039150
93.800000, 0.981600, 0.039090
94.000000, 0.981380, 0.039930
94.200000, 0.980350, 0.044420
94.400000, 0.980340, 0.045430
94.600000, 0.980720, 0.047810
94.800000, 0.980820, 0.051160
95.000000, 0.980770, 0.057920
95.200000, 0.980280, 0.073960
95.400000, 0.980980, 0.088040
95.600000, 0.981230, 0.102650
95.800000, 0.981280, 0.123720
96.000000, 0.981130, 0.141770
96.200000, 0.980800, 0.162560
96.400000, 0.980690, 0.189430
96.600000, 0.981760, 0.218590
96.800000, 0.981180, 0.242990
97.000000, 0.980290, 0.267440
97.200000, 0.981140, 0.287440
97.400000, 0.982510, 0.314510
97.600000, 0.982150, 0.328750
97.800000, 0.983870, 0.362600
98.000000, 0.984380, 0.401840
98.200000, 0.984300, 0.441720
98.400000, 0.983250, 0.470030
98.600000, 0.981460, 0.487790
98.800000, 0.980280, 0.503710
99.000000, 0.980910, 0.529570
99.200000, 0.982510, 0.548090
99.400000, 0.981910, 0.555260
99.600000, 0.982920, 0.586710
99.800000, 0.983610, 0.616630
100.000000, 0.982010, 0.633270
100.200000, 0.979470, 0.644940
100.400000, 0.979240, 0.653850
100.600000, 0.977860, 0.658770
100.800000, 0.979060, 0.671560
101.000000, 0.978800, 0.684730
101.200000, 0.978320, 0.689800
101.400000, 0.978860, 0.698410
101.600000, 0.979540, 0.704480
101.800000, 0.982020, 0.708130
102.000000, 0.983790, 0.719460
102.200000, 0.985590, 0.725350
102.400000, 0.986030, 0.724920
